C. A. R. Hoare##There are two ways of constructing a software design: One way is to make it so simple that there are obviously no deficiencies, and the other way is to make it so complicated that there are no obvious deficiencies. The first method is far more difficult.;;
Edsger Dijkstra##If debugging is the process of removing software bugs, then programming must be the process of putting them in.;;
Bill Gates##Measuring programming progress by lines of code is like measuring aircraft building progress by weight.;;
Bob Gray##Writing in C or C++ is like running a chain saw with all the safety guards removed.;;
Brian W. Kernighan##Debugging is twice as hard as writing the code in the first place. Therefore, if you write the code as cleverly as possible, you are, by definition, not smart enough to debug it.;;
Martin Golding##Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live.;;
Bjarne Stroustrup##C makes it easy to shoot yourself in the foot; C++ makes it harder, but when you do, it blows away your whole leg.;;
Richard Pattis##When debugging, novices insert corrective code; experts remove defective code.;;
Eric S. Raymond##Computer science education cannot make anybody an expert programmer any more than studying brushes and pigment can make somebody an expert painter.;;
Linus Torvalds##Most good programmers do programming not because they expect to get paid or get adulation by the public, but because it is fun to program.;;
Martin Fowler##Any fool can write code that a computer can understand. Good programmers write code that humans can understand.;;
Steve McConnel##Good code is its own best documentation. As you're about to add a comment, ask yourself, How can I improve the code so that this comment isn't needed?;;
Larry Wall##The problem with using C++ is that there's already a strong tendency in the language to require you to know everything before you can do anything.;;
Donald Knuth##People think that computer science is the art of geniuses but the actual reality is the opposite, just many people doing things that build on each other, like a wall of mini stones.;;
Ken Thompson##One of my most productive days was throwing away 1000 lines of code.;;
Ralph Johnson##Before software can be reusable it first has to be usable.;;
Michael Sinz##Programming is like sex. One mistake and you have to support it for the rest of your life.;;
Gerald Weinberg##If builders built buildings the way programmers wrote programs, then the first woodpecker that came along wound destroy civilization.;;
Tom Cargill##The first 90% of the code accounts for the first 90% of the development time. The remaining 10% of the code accounts for the other 90% of the development time.;;
Author Unknown##In order to understand recursion, one must first understand recursion.;;
Bjarne Stroustrup##I have always wished for my computer to be as easy to use as my telephone; my wish has come true because I can no longer figure out how to use my telephone.;;
Mitch Ratcliffe##A computer lets you make more mistakes faster than any other invention in human history, with the possible exceptions of handguns and tequila.;;
Author Unknown##The gap between theory and practice is not as wide in theory as it is in practice.;;
L. Peter Deutsch##To iterate is human, to recurse divine;;
Author Unknown##Programmer - an organism that turns coffee into software.;;
Author Unknown##All programmers are playwrights and all computers are lousy actors.;;
Dan Salomon##Sometimes it pays to stay in bed in Monday, rather than spending the rest of the week debugging Monday's code.;;
Bill Bryson##And then it occurred to me that a computer is a stupid machine with the ability to do incredibly smart things, while computer programmers are smart people with the ability to do incredibly stupid things. They are, in short, a perfect match.;;
Brian Bernighan & Rob Pike##Another effective technique is to explain your code to someone else. This will often cause you to explain the bug to yourself. Sometimes it takes no more than a few sentences, followed by an embarrassed "Never mind, I see what's wrong. Sorry to bother you." This works remarkably well; you can even use non-programmers as listeners. One university computer center kept a teddy bear near the help desk. Students with mysterious bugs were required to explain them to the bear before they could speak to a human counselor.;;
Doug Linder##A good programmer is someone who always looks both ways before crossing a one-way street.;;
Frederick Brooks, Jr##All programmers are optimists. Perhaps this modern sorcery especially attracts those who believe in happy endings and fairy godmothers. Perhaps the hundreds of nitty frustrations drive away all but those who habitually focus on the end goal. Perhaps it is merely that computers are young, programmers are younger, and the young are always optimists.;;
Edsger Dijkstra##The question of whether computers can think is like the question of whether submarines can swim.;;
Author Unknown##Beta. Software undergoes beta testing shortly before it's released. Beta is Latin for "still doesn't work.";;
Brian Kernighan##Controlling complexity is the essence of computer programming.;;
Peter Williams##From a programmer's point of view, the user is a peripheral that types when you issue a read request.;;
The Washington Post Magazine, 9 June 1985##At Group L, Stoffel oversees six first-rate programmers, a managerial challenge roughly equivalent to herding cats.;;
Author Unknown##It's not a bug - it's an undocumented feature.;;
Fred Blechman##Version 1 of any software is full of bugs. Version 2 fixes all the bugs and is great. Version 3 adds all the things users ask for, but hides all the great stuff in Version 2.;;
Paul Graham, "Hackers and Painters," 2003##Great software, likewise, requires a fanatical devotion to beauty. If you look inside good software, you find that parts no one is ever supposed to see are beautiful too. I'm not claiming I write great software, but I know that when it comes to code I behave in a way that would make me eligible for prescription drugs if I approached everyday life the same way. It drives me crazy to see code that's badly indented, or that uses ugly variable names.;;
Jessica Gaston##One man's crappy software is another man's full time job.;;
John Moore##He who hasn't hacked assembly language as a youth has no heart. He who does so as an adult has no brain.;;
Richard Pattis##If you cannot grok the overall structure of a program while taking a shower, e.g., with no external memory aids, you are not ready to code it.;;
Nathaniel S. Borenstein##It should be noted that no ethically-trained software engineer would ever consent to write a DestroyBaghdad procedure. Basic professional ethics would instead require him to write a DestroyCity procedure, to which Baghdad could be given as a parameter.;;
Doug Vargas##It's easy to cry "bug" when the truth is that you've got a complex system and sometimes it takes a while to get all the components to co-exist peacefully.;;
Robert Sewell##If Java had true garbage collection, most programs would delete themselves upon execution.;;
Joseph Campbell##A computer is like an Old Testament god, with a lot of rules and no mercy.;;
Gavin Russell Baker##C++: Where friends have access to your private members.;;
C. A. R. Hoare##We should forget about small efficiencies, say about 97% of the time: premature optimization is the root of all evil.;;
Robert Firth##One of the main causes of the fall of the Roman Empire was that lacking zero they had no way to indicate successful termination of their C programs.;;
Harlan Mills##Programming is similar to a game of golf. The point is not getting the ball in the hole but how many strokes it takes.;;
Author Unknown##Programming languages should be designed not by piling feature on top of feature, but by removing the weaknesses and restrictions that make additional features appear necessary.;;
Richard Pattis##Programming languages, like pizzas, come in only two sizes: too big and too small.;;
Edgser Dijkstra##It is practically impossible to teach good programming style to students that have had prior exposure to BASIC. As potential programmers, they are mentally mutilated beyond hope of regeneration.;;
Rich Cook##Programming today is a race between software engineers striving to build bigger and better idiot-proof programs, and the Universe trying to produce bigger and better idiots. So far, the Universe is winning.;;
Author Unknown##Programs for sale: fast, reliable, cheap - choose two.;;
Bob Frankston##Reusing pieces of code is like picking off sentences from other people's stories and trying to make a magazine article.;;
Author Unknown##Program, n. A magic spell cast over a computer allowing it to turn one's input into error messages; v. tr. To engage in a pastime similar to banging one's head against a wall, but with fewer opportunities for reward.;;
Stan Kelly-Bootle##Should array indices start at 0 or 1? My compromise of 0.5 was rejected without, I thought, proper consideration.;;
J. Osterhout##The best performance improvement is the transition from the nonworking state to the working state.;;
Frederick Brooks##The magic of myth and legend has come true in our time. One types the correct incantation on a keyboard, and a display screen comes to life, showing things that never were nor could be.... The computer resembles the magic of legend in this respect, too. If one character, one pause, of the incantation is not strictly in proper form, the magic doesn't work. Human beings are not accustomed to being perfect, and few areas of human activity demand it. Adjusting to the requirement for perfection is, I think, the most difficult part of learning to program.;;
Harlan Mills##The only way for errors to occur in a program is by being put there by the author. No other mechanisms are known. Programs can't acquire bugs by sitting around with other buggy programs.;;
Seymour Cray##The trouble with programmers is that you can never tell what a programmer is doing until it's too late.;;
Author Unknown##Constants also simplify modifying the program, should the value of pi change.;;
Alan J. Perlis##There are two ways to write error-free programs; only the third one works.;;
Lawrence Flon##There does not now, nor will there ever exist, a programming language in which it is the least bit hard to write bad programs.;;
Bill Joy##We don't manage our time as well as we manage our space. There's an overhead of starting and an overhead of stopping a project because you kind of lose your momentum. And you've got to bracket and put aside all the things you're already doing. So you need reasonably large blocks of uninterrupted time if you're going to be successful at doing some of these things. That's why hackers tend to stay up late. If you stay up late and you have another hour of work to do, you can just stay up another hour later without running into a wall and having to stop. Whereas it might take three or four hours if you start over, you might finish if you just work that extra hour. If you're a morning person, the day always intrudes a fixed amount of time in the future. So it's much less efficient. Which is why I think computer people tend to be night people - because a machine doesn't get sleepy.;;
Author Unknown##When a programming language is created that allows programmers to program in simple English, it will be discovered that programmers cannot speak English.;;
Paul Graham, "The Other Road Ahead," 2001##When you catch bugs early, you also get fewer compound bugs. Compound bugs are two separate bugs that interact: you trip going downstairs, and when you reach for the handrail it comes off in your hand.;;
C. A. R. Hoare##You cannot teach beginners top-down programming, because they don't know which end is up.;;
Author Unknown##The New Testament offers the basis for modern computer coding theory, in the form of an affirmation of the binary number system. "But let your communication be Yea, yea; nay, nay: for whatsoever is more than these cometh of evil.;;
Douglas Adams##What I mean is that if you really want to understand something, the best way is to try and explain it to someone else. That forces you to sort it out in your own mind. And the more slow and dim-witted your pupil, the more you have to break things down into more and more simple ideas. And that's really the essence of programming. By the time you've sorted out a complicated idea into little steps that even a stupid machine can deal with, you've certainly learned something about it yourself.;;
Chris Heilmann##Java is to JavaScript what Car is to Carpet.;;
Bill Gates##A great lathe operator commands several times the wage of an average lathe operator, but a great writer of software code is worth 10,000 times the price of an average software writer.;;
Steve McConnel## It's hard enough to find an error in your code when you're looking for it; it's even harder when you've assumed your code is error-free.;;
Edward V. Berard##Walking on water and developing software from a specification are easy if both are frozen.;;
Andrew Hunt & David Thomas##It's not at all important to get it right the first time. It's vitally important to get it right the last time.;;
John Johnson##First, solve the problem. Then, write the code.;;
Nathan Myhrvold##Software sucks because users demand it to.;;
Jamie Zawinski##Linux is only free if your time has no value.;;
Donald Knuth##Beware of bugs in the above code; I have only proved it correct, not tried it.;;
Abelson / Sussman##Programs must be written for people to read, and only incidentally for machines to execute.;;
Alan Kay##Most software today is very much like an Egyptian pyramid with millions of bricks piled on top of each other, with no structural integrity, but just done by brute force and thousands of slaves.;;
David Parnas##Copy and paste is a design error.;;
Louis Srygley##Without requirements or design, programming is the art of adding bugs to an empty text file.;;
Alan Perlis##When someone says, "I want a programming language in which I need only say what I want done," give him a lollipop.;;
Donald Knuth##Computers are good at following instructions, but not at reading your mind.;;
Eagleson's law##Any code of your own that you haven't looked at for six or more months might as well have been written by someone else.;;
Hofstadter's law##It always takes longer than you expect, even when you take into account Hofstadter's Law.;;
Alan Kay##Most software today is very much like an Egyptian pyramid with millions of bricks piled on top of each other, with no structural integrity, but just done by brute force and thousands of slaves.;;
Author Unknown##When all you have is a hammer, everything starts to look like a nail.;;
Douglas Adams##I love deadlines. I like the whooshing sound they make as they fly by.;;
Author Unknown##Think twice before you start programming or you will program twice before you start thinking.;;
Fred Brooks##Good judgement is the result of experience - Experience is the result of bad judgement.;;
Thomas A. Edison##I have not failed. I've just found 10,000 ways that won't work.;;
Author Unknown##Your code is both good and original. Unfortunately the parts that are good are not original, and the parts that are original are not good.;;
Paul M. Duvall##In my experience, one of the most significant problems in software development is assuming. If you assume a method will passed the right parameter value, the method will fail.;;
Martin Fowler##Now I'm a pretty lazy person and am prepared to work quite hard in order to avoid work.;;
Pablo Picasso##Computers are useless. They can only give you answers.;;
Sam Ewing##Computers are like bikinis. They save people a lot of guesswork.;;
Paul Leary##That's what's cool about working with computers. They don't argue, they remember everything, and they don't drink all your beer.;;
Jeremy S. Anderson##There are two major products that come out of Berkeley: LSD and UNIX. We don't believe this to be a coincidence;;
Dennie van Tassel#I've finally learned what upward compatible' means. It means we get to keep all our old mistakes.;;
Henry Petroski##The most amazing achievement of the computer software industry is its continuing cancellation of the steady and staggering gains made by the computer hardware industry.;;
Timm Martin##True innovation often comes from the small startup who is lean enough to launch a market but lacks the heft to own it.;;
Alan Cooper##It has been said that the great scientific disciplines are examples of giants standing on the shoulders of other giants. It has also been said that the software industry is an example of midgets standing on the toes of other midgets.;;
Ray Ozzie##Complexity kills. It sucks the life out of developers, it makes products difficult to plan, build and test, it introduces security challenges, and it causes end-user and administrator frustration.;;
Grady Booch##The function of good software is to make the complex appear to be simple.;;
Walter Mossberg##Just remember: you're not a dummy,' no matter what those computer books claim. The real dummies are the people who though technically expert couldn't design hardware and software that's usable by normal consumers if their lives depended upon it.;;
Bill Gates##Software suppliers are trying to make their software packages more user-friendly'... Their best approach so far has been to take all the old brochures and stamp the words user-friendly' on the cover.;;
Larry Wall##Most of you are familiar with the virtues of a programmer. There are three, of course: laziness, impatience, and hubris.;;
Larry Niven##That's the thing about people who think they hate computers. What they really hate is lousy programmers.;;
IEEE Grid news magazine##A programmer is a person who passes as an exacting expert on the basis of being able to turn out, after innumerable punching, an infinite series of incomprehensive answers calculated with micrometric precisions from vague assumptions based on debatable figures taken from inconclusive documents and carried out on instruments of problematical accuracy by persons of dubious reliability and questionable mentality for the avowed purpose of annoying and confounding a hopelessly defenseless department that was unfortunate enough to ask for the information in the first place.;;
Peter Seebach##A hacker on a roll may be able to produce in a period of a few months something that a small development group (say, 7-8 people) would have a hard time getting together over a year. IBM used to report that certain programmers might be as much as 100 times as productive as other workers, or more.;;
Randall E. Stross##The best programmers are not marginally better than merely good ones. They are an order-of-magnitude better, measured by whatever standard: conceptual creativity, speed, ingenuity of design, or problem-solving ability.;;
Mosher's Law of Software Engineering##Don't worry if it doesn't work right. If everything did, you'd be out of a job.;;
Gerald Weinberg##Writing code has a place in the human hierarchy worth somewhere above grave robbing and beneath managing.;;
George Carrette##First learn computer science and all the theory. Next develop a programming style. Then forget all that and just hack.;;
Kent Beck##Optimism is an occupational hazard of programming; feedback is the treatment.;;
Author Unknown##The best thing about a boolean is even if you are wrong, you are only off by a bit.;;
Bjarne Stroustrup##There are only two kinds of programming languages: those people always bitch about and those nobody uses.;;
Jon Ribbens##PHP is a minor evil perpetrated and created by incompetent amateurs, whereas Perl is a great and insidious evil perpetrated by skilled but perverted professionals.;;
Edsger Dijkstra##The use of COBOL cripples the mind; its teaching should therefore be regarded as a criminal offense.;;
Larry Wall##Computer language design is just like a stroll in the park. Jurassic Park, that is.;;
Richard A. O'Keefe##Fifty years of programming language research, and we end up with C++?;;
pixadel##Fine, Java MIGHT be a good example of what a programming language should be like. But Java applications are good examples of what applications SHOULDN'T be like.;;
Linus Torvalds##Software is like sex: It's better when it's free.;;
Edgser Dijkstra##If debugging is the process of removing bugs, then programming must be the process of putting them in.;;
David Emery##The only people who have anything to fear from free software are those whose products are worth even less.;;
Francis Glassborow##Good programmers use their brains, but good guidelines save us having to think out every case.;;
Jeff Atwood##In software, we rarely have meaningful requirements. Even if we do, the only measure of success that matters is whether our solution solves the customer's shifting idea of what their problem is.;;
Jim McCarthy##You can't have great software without a great team, and most software teams behave like dysfunctional families.;;
Bertrand Meyer##You can either have software quality or you can have pointer arithmetic, but you cannot have both at the same time.;;
Mark Minasi##If McDonalds were run like a software company, one out of every hundred Big Macs would give you food poisoning, and the response would be, We're sorry, here's a coupon for two more.';;
Paul Ehrlich##To err is human, but to really foul things up you need a computer.;;
Bill Gates, 1981##640K ought to be enough for anybody.;;
Author Unknown##Deliver yesterday, code today, think tomorrow.;;
Steve McConnel##It's okay to figure out murder mysteries, but you shouldn't need to figure out code. You should be able to read it.;;
Author Unknown##If at first you don't succeed, you must be a programmer.;;
Rich Cook##Programming today is a race between software engineers striving to build bigger and better idiot-proof programs, and the Universe trying to produce bigger and better idiots. So far, the Universe is winning.;;
